Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_102257536,Eau de toilette,Kenzo,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,74.99,30ML,3274872439597,102257536
BP_102844132,Eau de parfum rose noire,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,88.99,30ML,3346470147799,102844132
BP_100503123,Eau de Parfum vaporisateur,DIOR,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,98.99,30ML,3348901182331,100503123
BP_100028760,Eau de parfum,Viktor & Rolf,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,106.99,30ML,3360374000004,100028760
BP_102882121,Le parfum,Lanc̫me,NOUVEAU/undefined/undefined/undefined,inStock,89.99,30ML,3614274068795,102882121
BP_101626176,Eau de toilette Roller-Pearl,DIOR,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,57.99,20ML,3348901445108,101626176
BP_101591090,Eau de parfum,Narciso Rodriguez,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,88.0,30ML,3423478504059,101591090
BP_100774361,Eau de Toilette Bois̩e Ambr̩e,MAISON MARGIELA,Parfum/Parfum Mixte/Eau de toilette/undefined,inStock,78.99,30ML,3614270562112,102181201
BP_100013374,Shalimar Eau de Parfum Vaporisateur Rechargeable,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,113.99,50ML,3346470121997,100013374
BP_100024197,Eau de parfum,Narciso Rodriguez,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,93.99,30ML,3423470890136,100465391
BP_100020375,Eau de toilette,Issey Miyake,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,109.99,50ML,3423470300154,100020375
BP_101380911,Eau de Parfum,CHLOE,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3614223111404,101380911
BP_102394143,Eau de parfum - recharge,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,102.89,100ML,3614273764216,102394143
BP_102885170,Parfum intense,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,97.99,30ML,8435415080408,102885170
BP_100261769,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,107.99,35ML,3145891136500,100984115
BP_100085777,Eau de parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,154.0,75ML,3346470132917,102111545
BP_100025331,Eau de Toilette,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,96.6,100ML,3365440246737,100025331
BP_102955107,Eau de parfum,Gucci,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,97.99,30ML,3616303470869,102955107
BP_100013341,Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,164.99,75ML,3346470132818,102111502
BP_102542100,Eau de parfum,Carolina Herrera,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,91.99,30ML,8411061041659,102542100
BP_101007199,Eau de Parfum Fleur D'oranger,La Sultane de Saba,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,65.79,100ML,3700448601056,101007199
BP_102616391,Bosca Vanilla - Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,133.99,75ML,3346470147447,102616391
BP_102275700,Eau de parfum,Narciso Rodriguez,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,93.99,30ML,3423222055516,102275700
